FanGraph ID,Player,Carded Team,Position
19562,"Short, Zack",DEA,2B/SS/3B
22896,"Sosa, Lenyn",CHA,2B
25353,"Stefanic, Michael",LAA,2B/3B
20056,"Trejo, Alan",CON,2B/3B
22186,"Turang, Brice",MLN,2B
16622,"Urias, Luis",BOA/MLN,2B/3B
24782,"Villar, David",SFN,2B/3B
27735,"Wisely, Brett",SFN,2B/CF
12532,"Wong, Kolten",LAN/SEA,2B
11902,"Alberto, Hanser",CHA,3B/2B
18289,"Anderson, Brian",MLN,3B/RF
20275,"Arauz, Jonathan",NYN,3B/2B
24703,"Bride, Jonah",OAA,3B
19683,"Brosseau, Mike",MLN,3B
28163,"Caminero, Junior",TBA,3B/SS
25040,"Capra, Vinny",PIN,3B/2B
15937,"Diaz, Aledmys",OAA,3B/SS
5038,"Donaldson, Josh",MLN/NYA,3B
15117,"Dozier, Hunter",KCA,3B
13836,"Duffy, Matt",KCA,3B/2B
6153,"Escobar, Eduardo",LAA/NYN,3B
22532,"Freeman, Tyler",CLA,3B/2B
8202,"Harrison, Josh",PHN,3B/2B
22505,"Kennedy, Buddy",ARN,3B
25813,"Kessinger, Grae",HOA,3B/SS
19958,"Kieboom, Carter",WAN,3B
25822,"Lipcius, Andre",DEA,3B
9368,"Longoria, Evan",ARN,3B
20463,"Lopez, Irving",SLN,3B/2B
20521,"Madrigal, Nick",CHN,3B
11381,"Maggi, Drew",PIN,3B
20017,"Mastrobuoni, Miles",CHN,3B
21635,"Maton, Nick",DEA,3B/2B
19392,"McKinstry, Zach",DEA,3B/2B/RF
23986,"Mead, Curtis",TBA,3B
20538,"Miranda, Jose",MNA,3B
19455,"Monasterio, Andruw",MLN,3B/2B
4892,"Moustakas, Mike",LAA/CON,3B/1B
17893,"Nevin, Tyler",DEA,3B
17696,"Newman, Kevin",CIN,3B/SS
22823,"Peraza, Oswald",NYA,3B
12325,"Peterson, Jace",ARN/OAA,3B
12140,"Querecuto, Juniel",SLN,3B
12861,"Rendon, Anthony",LAA,3B
13788,"Reynolds, Matt",CIN,3B/1B
18316,"Rios, Edwin",CHN,3B
19890,"Rivera, Emmanuel",ARN,3B
19964,"Rosario, Eguy",SDN,3B
5933,"Segura, Jean",MMN,3B
19293,"Senzel, Nick",CIN,3B
19844,"Toro, Abraham",MLN,3B
25807,"Triolo, Jared",PIN,3B
18795,"Urias, Ramon",BAA,3B
13324,"Vargas, Ildemaro",WAN,3B
22184,"Vientos, Mark",NYN,3B
8418,"Adrianza, Ehire",ATN,SS
12147,"Ahmed, Nick",ARN,SS
23296,"Amaya, Jacob",MMN,SS/2B
23378,"Barrero, Jose",CIN,SS/CF
23985,"Basabe, Osleivis",TBA,SS
14950,"Camargo, Johan",SFN,SS/3B
14773,"Chang, Yu",BOA,SS
20352,"Clement, Ernie",TOA,SS
5343,"Crawford, Brandon",SFN,SS
18015,"DeJong, Paul",SFN/TOA/SLN,SS
22202,"Downs, Jeter",WAN,SS/2B
17992,"Fletcher, David",LAA,SS/2B
27531,"Hamilton, David",BOA,SS
19262,"Hampson, Garrett",MMN,SS/CF
10472,"Hernandez, Enrique",LAN/BOA,SS/2B
21535,"Kaiser, Connor",CON,SS
29976,"Lawlar, Jordan",ARN,SS
22871,"Marcano, Tucupita",PIN,SS
22232,"McCoy, Mason",TOA,SS
24597,"Ornelas, Jonathan",TEA,SS/3B
10030,"Owings, Chris",PIN,SS
26420,"Paris, Kyren",LAA,SS
24273,"Peguero, Liover",PIN,SS/2B
16357,"Reyes, Pablo",BOA,SS/2B
23690,"Rocchio, Brayan",CLA,SS/3B
27577,"Schmitt, Casey",SFN,SS/3B
25817,"Shewmake, Braden",ATN,SS
26396,"Smith, Josh H.",TEA,SS/3B
20242,"Smith, Kevin",OAA,SS/3B
22471,"Soto, Livan",LAA,SS/2B
23691,"Tena, Jose",CLA,SS
14196,"Velazquez, Andrew",LAA,SS
15730,"Wade, Tyler",OAA,SS
13853,"Wendle, Joey",MMN,SS
27604,"Williams, Alika",PIN,SS
19931,"Williams, Luke",ATN/LAN,SS
16623,"Allen, Greg",NYA,LF
25569,"Alu, Jake",WAN,LF/2B
19779,"Blanco, Dairon",KCA,LF/RF
18395,"Blankenhorn, Travis",WAN,LF/RF
4106,"Brantley, Michael",HOA,LF
27615,"Burleson, Alec",SLN,LF
26438,"Canzone, Dominic",SEA/ARN,LF
27790,"Carter, Evan",TEA,LF
14477,"Cave, Jake",PHN,LF/1B
26365,"Deluca, Jonny",LAN,LF/CF/RF
10762,"Dickerson, Corey",WAN,LF
25055,"Eaton, Nate",KCA,LF
25476,"Eden, Cam",TOA,LF
20321,"Fairchild, Stuart",CIN,LF/RF/CF
12160,"Gamel, Ben",SDN,LF
21293,"Guthrie, Dalton",PHN,LF/CF
14274,"Haniger, Mitch",SFN,LF
13768,"Jankowski, Travis",TEA,LF
20311,"Julks, Corey",HOA,LF
14894,"Kemp, Tony",OAA,LF/2B
19212,"Kohlwey, Taylor",SDN,LF
21501,"Larnach, Trevor",MNA,LF/RF
15124,"Locastro, Tim",NYN,LF
16424,"Luplow, Jordan",MNA/TOA,LF
25505,"Marlowe, Cade",SEA,LF
12005,"Martini, Nick",CIN,LF
15654,"McKinney, Billy",NYA,LF
15672,"Meadows, Austin",DEA,LF
13359,"Naquin, Tyler",CHA,LF
19698,"Olivares, Edward",KCA,LF
19948,"Pache, Cristian",PHN,LF/CF
12434,"Pillar, Kevin",ATN,LF
9256,"Pollock, AJ",SFN/SEA,LF
22515,"Ramos, Heliot",SFN,LF/RF
13770,"Refsnyder, Rob",BOA,LF
19957,"Rutherford, Blake",WAN,LF
22274,"Taylor, Samad",KCA,LF/2B
22261,"Thompson, Bubba",TEA,LF
19960,"Trammell, Taylor",SEA,LF
16496,"Wall, Forrest",ATN,LF
19358,"Wilson, Weston",PHN,LF
18400,"Yepez, Juan",SLN,LF
12984,"Bradley Jr, Jackie",KCA,CF
22542,"Butler, Lawrence",OAA,CF
15104,"Davis, Jonathan",MMN,CF
25479,"Doyle, Brenton",CON,CF
15082,"Engel, Adam",SDN,CF
26208,"Fitzgerald, Tyler",SFN,CF/3B
26149,"Fletcher, Dominic",ARN,CF/RF
19151,"Florial, Estevan",NYA,CF
16337,"Gordon, Nick",MNA,CF/LF/2B
16947,"Hill, Derek",WAN,CF
17954,"Hilliard, Sam",ATN,CF
20002,"Johnson, Bryce",SFN,CF
14712,"Margot, Manuel",TBA,CF/RF
11339,"Marisnick, Jake",LAN/DEA/CHA,CF
23800,"Meadows, Parker",DEA,CF
31490,"Meckler, Wade",SFN,CF
22054,"Myers, Dane",MMN,CF
10323,"Ortega, Rafael",NYN,CF/LF
14735,"Phillips, Brett",LAA,CF
24262,"Rafaela, Ceddanne",BOA,CF
22557,"Siani, Michael",SLN/CIN,CF
16153,"Slater, Austin",SFN,CF/LF
17932,"Stevenson, Andrew",MNA,CF
22411,"Stevenson, Cal",SFN,CF
15274,"Tauchman, Mike",CHN,CF
9952,"Thompson, Trayce",CHA/LAN,CF/RF
17326,"Tucker, Cole",CON,CF/RF
19346,"White, Eli",ATN,CF
27690,"Wiemer, Joey",MLN,CF
23788,"Adams, Jordyn",LAA,RF/CF
15878,"Andujar, Miguel",PIN,RF
15194,"Bauers, Jake",NYA,RF/LF/1B
7859,"Blackmon, Charlie",CON,RF
21270,"Bouchard, Sean",CON,RF
25459,"Burdick, Peyton",MMN,RF
19983,"Capel, Conner",OAA,RF/LF
14567,"Cordero, Franchy",NYA,RF
13744,"Dahl, David",SDN,RF
29617,"Davis, Henry",PIN,RF
15983,"Frazier, Clint",CHA,RF
29622,"Frelick, Sal",MLN,RF/CF
5760,"Garcia, Avisail",MMN,RF/LF
18063,"Garlick, Kyle",MNA,RF/LF
20970,"Gonzalez, Oscar",CLA,RF
29715,"Goodman, Hunter",CON,RF/1B
10199,"Hamilton, Billy",CHA,RF
19878,"Haseley, Adam",CHA,RF/CF
25482,"Hopkins, TJ",CIN,RF
18123,"Lukes, Nathan",TOA,RF
19928,"McKenna, Ryan",BAA,RF/CF
16375,"Mercado, Oscar",SLN,RF/LF
22169,"Mitchell, Cal",PIN,RF
10047,"Myers, Wil",CIN,RF/1B
19818,"Palacios, Joshua",PIN,RF/LF
19921,"Perkins, Blake",MLN,RF/CF
11481,"Ramos, Henry",CIN,RF
15464,"Renfroe, Hunter",CIN/LAA,RF
19892,"Smith, Pavin",ARN,RF
23264,"Smith-Njigba, Canaan",PIN,RF
17766,"Stewart, DJ",NYN,RF
26151,"Stowers, Kyle",BAA,RF/LF
14350,"Tapia, Raimel",TBA/MLN/BOA,RF/LF
13675,"Taylor, Tyrone",MLN,RF/LF
19828,"Thomas, Cody",OAA,RF
24400,"Vavra, Terrin",BAA,RF
